"tweet_link","note_link","classification","currentStatus","note_text","agree","disagree","video_duration_s"
"https://x.com/i/web/status/1403178538816131072","https://x.com/i/communitynotes/n/1403403287018315789","NOT_MISLEADING","NEEDS_MORE_RATINGS","It is a simple historical fact that more concentration and extermination camps were liberated by the Soviet Union, who did the majority of the fighting on the ground in Europe in WW2. The camps were mostly located in the East, so Soviet troops reached them first    https://www.jewishvirtuallibrary.org/map-of-nazi-camps-in-occupied-europe    https://www.jewishvirtuallibrary.org/map-of-allied-liberation-of-major-nazi-camps","28","2","107.8"
"https://x.com/i/web/status/1405579200908640258","https://x.com/i/communitynotes/n/1405726937713102849","NOT_MISLEADING","NEEDS_MORE_RATINGS","Senator Ted Cruz led efforts to prevent certification of President Joe Biden's victory in 2020. Contemporary non-partisan news reporting described these efforts as a &quot;bid to overturn&quot; the election results. https://www.reuters.com/article/us-usa-election-republicans/u-s-senator-cruz-leads-long-shot-republican-bid-to-overturn-bidens-victory-idUSKBN2970J9 ","17","2","47.5"
"https://x.com/i/web/status/1407494522578378753","https://x.com/i/communitynotes/n/1407663959465934848","MISINFORMED_OR_POTENTIALLY_MISLEADING","NEEDS_MORE_RATINGS","The tweet from AOC says blocking S1 will &quot;block voting rights for millions of people.&quot; This is untrue. Nothing in the bill restricts voting rights.   Here is the bill: https://www.congress.gov/bill/117th-congress/senate-bill/1","13","15","40.1"
"https://x.com/i/web/status/1399707794375426051","https://x.com/i/communitynotes/n/1399891204611923976","NOT_MISLEADING","NEEDS_MORE_RATINGS","Maggie Haberman consistently posts accurate information about former president trumps actions.     https://www.nytimes.com/2020/11/08/business/media/trump-maggie-haberman.html","4","2","95.7"
"https://x.com/i/web/status/1357529864081965056","https://x.com/i/communitynotes/n/1357935198109896704","NOT_MISLEADING","NEEDS_MORE_RATINGS","Health officials need more data to see whether or not this is safe yet after acquiring immunity.   For now, they recommend playing it safe, with mask-wearing even if you have immunity.  https://www.cdc.gov/coronavirus/2019-ncov/vaccines/faq.html#mask  https://www.factcheck.org/2020/11/paul-misleads-on-natural-infection-and-covid-19-vaccines/    Context: Sen. Paul was infected with, and recovered from, COVID-19 nearly a year ago.  https://www.kentucky.com/news/politics-government/article241830831.html","4","1","36.5"
"https://x.com/i/web/status/1404849725753286656","https://x.com/i/communitynotes/n/1404898106202902528","MISINFORMED_OR_POTENTIALLY_MISLEADING","NEEDS_MORE_RATINGS","Portland:     https://www.snopes.com/fact-check/portland-protesters-burn-bibles/    Seattle:    https://www.bbc.com/news/world-us-canada-53218448    'Minnesota':    https://www.forbes.com/sites/mattperez/2020/07/28/mystery-umbrella-man-vandal-from-minnesota-police-say-hes-a-white-supremacist-instigator/?sh=5e93804e48ee    The 'RubenReport' is a politically-conservative source of info.    https://en.wikipedia.org/wiki/The_Rubin_Report    Mentioned places are not 'burned down'. Details about source of damage vary and are disputable. Author is considered to be opposed to the current administration.","3","10","35.5"
"https://x.com/i/web/status/1359689346006269952","https://x.com/i/communitynotes/n/1359904375758606339","MISINFORMED_OR_POTENTIALLY_MISLEADING","NEEDS_MORE_RATINGS","First, his opinion on Tucker is his own.    The investigation into the death of Officer Sicknick has shown that there was no physical trauma to him from any of the things being claimed. Additionally, he was texting with his brother.    I would rather know what actually happened.  https://www.mynbc5.com/article/investigators-struggle-to-build-murder-case-in-death-of-us-capitol-police-officer-brian-sicknick/35397426#","2","3","91.6"
"https://x.com/i/web/status/1408599591717646339","https://x.com/i/communitynotes/n/1408602123160358912","MISINFORMED_OR_POTENTIALLY_MISLEADING","NEEDS_MORE_RATINGS","https://www.whitehouse.gov/briefing-room/statements-releases/2021/01/20/fact-sheet-president-biden-sends-immigration-bill-to-congress-as-part-of-his-commitment-to-modernize-our-immigration-system/","2","3","104.3"
"https://x.com/i/web/status/1392220241472720897","https://x.com/i/communitynotes/n/1392234053013753857","MISINFORMED_OR_POTENTIALLY_MISLEADING","NEEDS_MORE_RATINGS","Al-Aqsa wasn't attacked. Thousands of people pray there year round with no problem. When people start throwing rocks the Israeli police responds with typical riot solutions       https://www.bbc.com/news/world-middle-east-57034237.amp","2","3","21.4"
"https://x.com/i/web/status/1374777986965209100","https://x.com/i/communitynotes/n/1374796604939632653","MISINFORMED_OR_POTENTIALLY_MISLEADING","NEEDS_MORE_RATINGS","There's no way in hell this is an actual thing people will buy into.","2","6","34.8"
"https://x.com/i/web/status/1405152467118141440","https://x.com/i/communitynotes/n/1405156716577230849","MISINFORMED_OR_POTENTIALLY_MISLEADING","NEEDS_MORE_RATINGS","Fox: “This incident involves nothing more than a disgruntled former employee seeking publicity by promoting a false narrative produced through selective editing and misrepresentation.” She promoted medically inaccurate stories about the effectiveness of hydroxychloroquine. https://www.thedailybeast.com/local-fox-reporter-ivory-hecker-suspended-for-live-on-air-project-veritas-stunt","1","11","41.3"
"https://x.com/i/web/status/1354951617074884615","https://x.com/i/communitynotes/n/1355127799909142528","MISINFORMED_OR_POTENTIALLY_MISLEADING","NEEDS_MORE_RATINGS","There is no factual findings that Marjorie is a racist, Islamaphobe or an insurrectionist.","1","4","84.2"
