url,needs_note,ground_truth_note
https://x.com/i/status/2018195600169390106,yes,"Waking at 3-4 a.m. is commonly caused by the natural rise in cortisol levels around that time, often linked to stress, sleep cycles, or age related changes and not intercepted thoughts from someone else. https://my.clevelandclinic.org/health/articles/22103-cortisol"
https://x.com/i/status/2014876147952029785,yes,"The claim that House impeachment without Senate conviction nullifies a president's prior term, allowing two more terms, is false; the 22nd Amendment limits presidents to two elected terms regardless of impeachment. https://www.snopes.com/fact-check/failed-impeachment-nullify-term https://constitution.congress.gov/constitution/amendment-22/"
https://x.com/i/status/2024988501440074066,yes,"This video is from a simulated hostage rescue training drill by Brazil's BOPE special police forces on July 6, 2025, not a real incident. https://en.wikipedia.org/wiki/Batalh%C3%A3o_de_Opera%C3%A7%C3%B5es_Policiais_Especiais"
https://x.com/i/status/2016119830760587528,yes,"This video is AI-generated, not real footage. It shows a fictional ship ""Grand Aurelian"" with telltale AI artifacts like unnatural water physics. Original posts of this video were explicitly labeled as AI-generated. https://fullfact.org/environment/cruise-ship-sewage-sea-ai-generated/"
https://x.com/i/status/2021670324325298616,yes,"This image is from a flawed 2013 Danish student experiment that ignored confounders like heat from routers drying seeds. A second WiFi-exposed group that grew normally was selectively excluded. WiFi uses non-ionizing waves lacking energy to damage plants. https://sciencemeetsfiction.com/2013/12/16/no-wi-fi-does-not-hurt-plants-or-anything-else-for-that-matter/"
https://x.com/i/status/2013100247090663429,yes,"This video shows a climate protest in Vienna, Austria on February 4, 2022, where activists lay in body bags to symbolize projected climate deaths, not Ukraine war casualties. https://apnews.com/article/fact-checking-789622514314 https://www.reuters.com/article/factcheck-ukraine-body-bags-idUSL2N2V6241"
https://x.com/i/status/2011804909834789028,yes,"Eric Berg is a chiropractor, not an MD. Prolonged fasting lacks evidence as cancer treatment and risks malnutrition & weakened immunity in patients. Short fasting may aid chemo per mouse studies, but consult oncologist. https://pmc.ncbi.nlm.nih.gov/articles/PMC12035504 https://theconversation.com/why-fasting-wont-cleanse-your-body-or-beat-cancer-267555"
https://x.com/i/status/2019833472349569084,yes,"Piece cannot be 100+ years old - it has the brand imprint ""Martha Stewart"" on the bottom. https://achievers.edu.ng/products/martha-stewart-cast-iron-cornbread-mold/14530743/"
https://x.com/i/status/2025080836677398896,yes,"This video is fake and engagement farming. Apple does not use NFC to verify charging adapters. iPhones cannot authenticate wall chargers by tapping them. Apple power bricks do not contain NFC chips."
https://x.com/i/status/2015811569007894903,yes,"These bins are communal bins for local businesses and residents in Sheffield's Fargate area. They are accessed using a free key card provided to authorized users to prevent fly-tipping, not by payment. Public litter bins are available nearby. https://www.thestar.co.uk/news/politics/fargate-sheffield-city-council-gives-launch-date-for-super-bins-seven-months-after-ps14m-revamp-5386053"
https://x.com/i/status/2013036045726593211,yes,"The claim that cooked rice must be thrown out after 24 hours is inaccurate. According to the USDA and food safety experts, cooked rice is safe to eat for 3 to 4 days if it is refrigerated promptly and stored properly. http://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/food-safety-basics/leftovers-and-food-safety"
https://x.com/i/status/2023387332523491839,yes,"These IQs for historical figures are speculative estimates based on biographical data, not actual standardized tests which were invented in 1905. https://en.wikipedia.org/wiki/Intelligence_quotient https://en.wikipedia.org/wiki/Historiometry"
https://x.com/i/status/2019927016875913602,yes,"This happened in 2023, and these are cops not ICE agents. https://www.youtube.com/watch?v=MVjk5-46lq4 https://abc7chicago.com/post/chicago-crash-illinois-state-police-fuller-park-isp/12766193/"
https://x.com/i/status/2014877529744834822,yes,"Despite the Age Verification being said to be a ""safer"" way to protect children from bad actors, this system has proved to be inaccurate and unsafe, as bad actors can easily bypass the Verification System. Children can also easily bypass it. https://www.wired.com/story/robloxs-ai-powered-age-verification-is-a-complete-mess/"
https://x.com/i/status/2024784206589739151,yes,"This video is an AI-generated fictional story, not a real wolf rescue event. The original YouTube upload includes a disclaimer stating it's simulated using AI and synthetic media; events and animals are not real. https://www.youtube.com/shorts/AN4Bs3XDryQ"
