url,needs_note,ground_truth_note,tweet_text,tags
https://x.com/i/status/2026525350000472457,yes,"The video is from a scripted TikTok/Instagram series titled &quot;Delhi Fake Taxi,&quot; not a genuine incident caught on camera.     https://x.com/delhiite_/status/2026560725880287735    https://www.instagram.com/reel/DU71OeiAT9Y/?igsh=MjNwN3lmNGxjcGYw","""Do you want girls for s*x?"" 🚨🇮🇳

""They will be 18-20 year-old good girls."" 👹

An Indian auto driver in Delhi was caught on camera offering girls to a foreigner.

He said, ""Rooms are available, sir. I'll arrange for girls in 20 minutes."" Disease has a face. https://t.co/ph9zUfH53G",tiktok_repost|misinformation|india|delhi|satire|viral_video|social_media_controversy
https://x.com/i/status/2031421397637960141,yes,The attached video is old (from October 2023) and has been debunked multiple times. It is being falsely used to claim a current evacuation of Ali Al-Salem Air Base in Kuwait. No official US or Kuwaiti source has confirmed any full evacuation.  Source: AFP Fact Check  https://factcheck.afp.com/doc.afp.com.33Y44XW,"🇺🇸⚡The U.S. Air Base in Kuwait is being evacuated. You can clearly see in these images that they are leaving Kuwait soil. From today's video, we can only say that Iran 🇮🇷 has succeeded in achieving its goal. https://t.co/nBqMCfBtgY",misinformation|fake_news|geopolitics|middle_east_relations|iran|military_action|kuwait|us_military
https://x.com/i/status/2013098133308481961,yes,"People who appear at public events with Ali Khamenei are not random members of the public. Attendees are pre-selected individuals affiliated with or approved by the regime, and access is tightly controlled through multiple layers of security screening and vetting before entry.    https://prod.iranwire.com/en/politics/125320-how-are-khameneis-guests-selected/","Iranian women's reaction to the nation's leader, Sayyed Ali Khamenei. https://t.co/WqbpirqZPR",iran|ali_khamenei|middle_east_relations|political_address|video_edit|social_media_controversy
https://x.com/i/status/2024884249254650331,yes,"The video is a recycled hoax, circulating since at least 2025 as a &quot;hornet's nest&quot; or &quot;hive&quot; UFO clip often labeled AI/CGI-generated. No credible reports or local witnesses confirm a sighting in Austin on Feb 20, 2026.    https://x.com/scrollwithankit/status/2024926963220316184  https://www.shorturl.at/2y2rS  https://www.tiktok.com/@loganr_moore/video/7474719025436642590","🚨🛸 WAP Object Over Austin, Texas Bizarre Hive-Like UFO Caught on Camera https://t.co/NNv6aXn40O",ufo_sighting|cgi|visual_effects|ai_generated|misinformation|conspiracy_theory|viral_video|tiktok_repost
https://x.com/i/status/2031385508417515666,yes,"The video does not depict an American soldier in Iran, as no US ground troops have been deployed inside the country. https://en.wikipedia.org/wiki/2026_Iran_war https://www.cnn.com/world/live-news/iran-war-us-israel-trump-03-10-26 https://www.aljazeera.com/news/2026/3/7/trump-administration-denies-reports-that-iran-captured-us-soldiers","“This shit not lookin good. Iran might have won,” says American soldier in Iran. 👀 https://t.co/Q9N53a9ibU",tiktok_repost|misinformation|iran|military_action|middle_east_relations|geopolitics|war_coverage|fake_news
https://x.com/i/status/2033261966349746410,yes,"The man's telescope uses a white light filter, showing sunspots but not flares. NASA and amateurs use H-alpha filters to view solar prominences and flares in the chromosphere.    https://skyandtelescope.org/observing/observing-the-sun    https://www.astroleague.org/how-to-safely-observe-the-sun",Man with amateur telescope observes the Sun from his back garden and calls NASA liars. https://t.co/DBJGWbUZqf,tiktok_repost|conspiracy_theory|misinformation|astronomy|nasa|social_media_controversy|viral_video
https://x.com/i/status/2017397577889497435,yes,"ROBLOX claims this change aims to help users “express themselves authentically,” but the removal of Classic Faces does the opposite by removing a core part of ROBLOX’s identity and style.    https://gyazo.com/5712606e2860257a01bb7d009182c0ca  https://devforum.roblox.com/t/completing-the-dynamic-head-migration/4301387  https://devforum.roblox.com/t/completing-the-dynamic-head-migration/4301387/11  https://devforum.roblox.com/t/roblox-does-not-care-and-will-not-listen-to-the-community/4312340    The community itself has shown to be opposed to this update as shown below  https://gyazo.com/ca2d3d414ebf4462ab0022b13325a7de  https://devforum.roblox.com/t/completing-the-dynamic-head-migration/4301387/3  https://devforum.roblox.com/t/completing-the-dynamic-head-migration/4301387/6","Classic faces. Dynamic heads. Big things ahead 👀 Hear it from our founder &amp; CEO, @DavidBaszucki https://t.co/zirkM4NvU3",roblox|gaming|social_media_controversy|product_update|david_baszucki|digital_avatars
https://x.com/i/status/2022582860121612570,yes,"This video is AI-generated and does not depict a real event. It is a fictional story of a fox rescue created for entertainment. Visual inconsistencies, such as the fox appearing dry after being under ice, indicate it's not real. No news reports confirm such an event.    https://www.instagram.com/reel/DSZfAzrkm07  https://www.facebook.com/fabiosa.daily/posts/1321481710015664  https://www.facebook.com/hilarious.ted1/videos/2118901295622490",Man Saves Mother Fox Trapped Beneath Frozen Lake. https://t.co/dZN9uOljSo,ai_generated|animal_rescue|misinformation|viral_video|nature|artificial_intelligence|fake_news
https://x.com/i/status/2030800226211008634,yes,The Iranian women's football team remains in Australia after elimination from the Women's Asian Cup and has not been captured or sent back to Iran. https://apnews.com/article/iran-soccer-womens-asian-cup-6a9fd17b140e01b9e841a766c9ff2670 https://www.theguardian.com/football/2026/mar/08/iran-women-asian-cup-the-phillipines-elimination-human-rights,"On Tuesday, the Iranian women’s football team refused to sing the anthem of the Islamic Regime.

Tonight, they were captured by the Regime and sent back to Iran to die.

So, to all liberal women:

You claim to be feminists.
You claim to fight for women.

Prove it.
FIGHT FOR THEM. https://t.co/vfBgH5husf",misinformation|iran|womens_rights|football|sports|activism|fake_news|social_media_controversy|middle_east_relations
https://x.com/i/status/2021596414078546210,yes,False and misleading: Anthropic made an update and the OP claims to be part of it.  https://x.com/lukaslucasnyc/status/2021974243613737027,"🚨 JUST IN: @claudeai got a huge update today and I'm flattered to be a part of it. As of now, Claude Opus 4.6 can build mobile apps and prepare shipping them on the Apple + Google app stores.

We just launched Shipper a new package that empowers Claude to:

→ Build complete https://t.co/NgtJq7boCZ",artificial_intelligence|ai_generated|software_development|mobile_apps|misinformation|tech_news
https://x.com/i/status/2029285958500135031,yes,"This video is not from central Israel. It was filmed in Gaza City on October 7, 2023, and the building shown is the Palestine Tower.    https://youtu.be/NUEjmv6VDrM?si=9PHzs5c6l45WPf3s    https://youtu.be/HqGpxe-7lAc?si=Rzv2aG0c4mT3GEiE","Israel getting what it deserves. 

@Reutershas confirmed this attack by Iran on Central Israel. I am just waiting for Grok to deny it and I will share the proof. 

EFF the Zionist Grok. What a great App it used to be.  https://t.co/5UyXa2Fv0G",misinformation|fake_news|geopolitics|middle_east_relations|iran|israel|palestine|war_coverage|missile_strike|media_criticism|breaking_news
https://x.com/i/status/2018959158930743614,yes,"The folder was edited from red to green by Sky News to symbolize a 'green budget,' not a live glitch or anomaly. https://www.snopes.com/fact-check/briefcase-changes-color/ https://www.reuters.com/article/fact-check/rishi-sunaks-colour-changing-ring-binder-was-not-a-glitch-in-the-matrix-idUSL1N31T0Y3 https://x.com/_rhiannonw/status/1237699770082299905",Failed MATRIX?... Have you ever imagined a folder changing color live during a newscast? The curious fact happened during a broadcast by Sky News. Former British Treasury Chancellor Rishi Sunak's portfolio mysteriously changed color over the course of a broadcast.🧐🤔 https://t.co/uGbYZ8PFDJ,misinformation|viral_video|uk_politics|conspiracy_theory|video_edit|rishi_sunak|media_criticism|sky_news
https://x.com/i/status/2013110593595560273,yes,AI SLOP  https://en.wikipedia.org/wiki/AI_slop  ,Never ignore strange rocks in the forest! https://t.co/5Nphdyp73h,ai_generated|oddly_satisfying|nature|misinformation|viral_video|lifestyle
https://x.com/i/status/2011519577965150477,yes,"This video shows the July 26, 2025, evacuation of American Airlines Flight 3023 at Denver International Airport. https://www.nytimes.com/2025/07/27/us/american-airlines-denver-flight.html https://www.cbsnews.com/colorado/news/aircraft-evacuated-denver-international-airport-american-airlines-takeoff-incident","American Airlines flight out of Denver aborted takeoff after a wheel malfunction/fire.

Everyone onboard the Boeing 737 MAX 8 safely evacuated the aircraft ✈️

#CityLife #denver #flying #boeing #airport #AmericanAirlines #boeing737 https://t.co/edqpwd5AAT",aviation|breaking_news|viral_video|american_airlines|denver|emergency_evacuation|boeing_737_max
https://x.com/i/status/2023025864318095578,yes,"The video is from September 3, 2025, showing two US military veterans arrested for disrupting a Senate hearing to protest US arms sales to Israel. It does not show active duty pilots arrested for refusing to fly weapons.    Sources:  https://factcheck.afp.com/doc.afp.com.777Z2NQ  https://www.democracynow.org/2025/9/4/headlines/army_veterans_disrupt_senate_hearing_to_accuse_members_of_complicity_in_gaza_genocide  https://www.youtube.com/watch?v=s7_Wb7DgzWk","🇺🇸🇮🇱⚡️- US military pilots were arrested for refusing to fly weapoms to Israel, claiming they are committing Genocide and the US govt and Congress are complicit in it. https://t.co/uHgymIYfYF",viral_video|misinformation|tiktok_repost|us_politics|middle_east_relations|israel|palestine|protest|activism|political_confrontation|military_veterans
https://x.com/i/status/2015858041342853289,yes,"The video combines drone surveillance footage from 2019 of the USS Dwight D. Eisenhower and attack simulation from 2021, not new footage of the USS Abraham Lincoln.    https://www.presstv.ir/Detail/2024/08/09/731037/Iran-IRGC-releases-fresh-surveillance-footage-of-US-warships    https://www.presstv.ir/Detail/2021/04/21/649996/Iran-IRGC-drone-footage-captures-United-States-aircraft-carrier","BREAKING NEWS

The Iranian Revolutionary Guard released a very close-up video of the U.S. aircraft carrier USS Abraham Lincoln, warning:

“There is no use in hiding… we know your location, and our suicide drones can reach you before your aircraft take off.” https://t.co/LyA6QyftCO",misinformation|iran|middle_east_relations|military_technology|geopolitics|breaking_news|video_edit|aviation
https://x.com/i/status/2015135213979095433,yes,"This video depicts a staged skit created by the TikTok account @thomasgibson31, which produces comedic content with recurring actors and sets, and is not a real incident of medical discrimination.    https://ca.news.yahoo.com/video-doctor-yelling-man-maga-193030369.html","As a physician, you don't discriminate against patients just because of their political support of a candidate.
Regardless of who they are. If a patient comes through the ER, with an injury, seeks care, your mission is to heal the patient, we do not judge. https://t.co/5nvIG1OBsg",tiktok_repost|viral_video|satire|misinformation|us_politics|political_confrontation|maga|medical_ethics
https://x.com/i/status/2032752370627588167,yes,"The fire on USS Gerald R. Ford was a minor, non-combat laundry room incident on March 12, 2026, quickly contained with no damage to the ship or operations. Two sailors had non-life-threatening injuries. Video footage depicts a different ship's 2020 fire.    https://www.cusnc.navy.mil/Media/News/Display/Article/4431969/statement-of-uss-gerald-r-ford  https://www.navytimes.com/news/your-navy/2026/03/12/onboard-fire-extinguished-on-aircraft-carrier-in-red-sea-navy-says  https://www.dvidshub.net/video/759638/uss-bonhomme-richard-lhd-6-fire","BREAKING:

The US Aircraft Carrier sent to protect Israel has caught on FIRE - and you need to know how...

What do you think? https://t.co/Dn4wWcOuqi",tiktok_repost|misinformation|reaction_video|breaking_news|middle_east_relations|israel|iran|military_action|geopolitics|fake_news
