url,needs_note,ground_truth_note,tweet_text,tags
https://x.com/i/status/2031385508417515666,yes,"The video does not depict an American soldier in Iran, as no US ground troops have been deployed inside the country. https://en.wikipedia.org/wiki/2026_Iran_war https://www.cnn.com/world/live-news/iran-war-us-israel-trump-03-10-26 https://www.aljazeera.com/news/2026/3/7/trump-administration-denies-reports-that-iran-captured-us-soldiers","“This shit not lookin good. Iran might have won,” says American soldier in Iran. 👀 https://t.co/Q9N53a9ibU",tiktok_repost|misinformation|iran|military_action|middle_east_relations|geopolitics|war_coverage|fake_news
https://x.com/i/status/2021596414078546210,yes,False and misleading: Anthropic made an update and the OP claims to be part of it.  https://x.com/lukaslucasnyc/status/2021974243613737027,"🚨 JUST IN: @claudeai got a huge update today and I'm flattered to be a part of it. As of now, Claude Opus 4.6 can build mobile apps and prepare shipping them on the Apple + Google app stores.

We just launched Shipper a new package that empowers Claude to:

→ Build complete https://t.co/NgtJq7boCZ",artificial_intelligence|ai_generated|software_development|mobile_apps|misinformation|tech_news
https://x.com/i/status/2015135213979095433,yes,"This video depicts a staged skit created by the TikTok account @thomasgibson31, which produces comedic content with recurring actors and sets, and is not a real incident of medical discrimination.    https://ca.news.yahoo.com/video-doctor-yelling-man-maga-193030369.html","As a physician, you don't discriminate against patients just because of their political support of a candidate.
Regardless of who they are. If a patient comes through the ER, with an injury, seeks care, your mission is to heal the patient, we do not judge. https://t.co/5nvIG1OBsg",tiktok_repost|viral_video|satire|misinformation|us_politics|political_confrontation|maga|medical_ethics
https://x.com/i/status/2031884438553182633,yes,"Per Turning Point's own ranking, Rep. Massie, is one of the most conservative legislators, with a TPAction score of 91% this session; NOT a RINO(Republican in name Only)  https://www.tpaction.com/scorecard/legislators/thomasmassie  Charlie Kirk, founder of Turning Point, often supported Rep. Massie, calling him &quot;my favorite congressman&quot;  https://x.com/i/status/810227376466620417","MAGA rallies are BACK

Trump haters are on notice 🇺🇸 https://t.co/o4heFbR5R0",tiktok_repost|us_politics|donald_trump|political_campaign|misinformation|video_edit|jake_paul|thomas_massie
https://x.com/i/status/2032688246371827835,yes,This video is old and shows protesters in Tehran attacking the Basij headquarters in January 2026. The video was posted on Youtube on January 19th 2026.  So it is not from Tel Aviv and has nothing to do with the US-Israeli war with Iran.  https://www.youtube.com/watch?v=TFpdvwtZ_fM  https://edition.cnn.com/2026/01/17/middleeast/iran-supreme-leader-khamenei-protests-criminal-trump-intl-latam,"🚨🚨MAJOR UPDATE: ITS TOTAL CHAOS IN THE STREETS OF TEL AVIV AS THE ENTIRE CITY CONTINUES TO BURN

THE PEOPLE HAVE LOST ALL CONTROL https://t.co/Kv4PxdVknW",viral_video|misinformation|fake_news|middle_east_relations|iran|israel|protest|geopolitics|breaking_news
https://x.com/i/status/2014322154960281930,yes,The video is a montage of random clips of different rabbits with different owners that can be clearly seen.    The post falsely claims that its only one rabbit being raised by the same man.  The user is creating animal rescue lies for engagement.    https://www.fourpawsusa.org/our-stories/publications-guides/fake-animal-rescue-videos,"This man found an abandoned rabbit outside the vegetable garden and then...

I love every single one of them! And I have even more love for the people who rescued and care for these little bundles of love 💖 https://t.co/pcHNKn3lzJ",misinformation|tiktok_repost|animal_rescue|viral_video|fake_news|nature
https://x.com/i/status/2030035621977198943,no,,Still don’t understand why we allowed this in TEXAS.  https://t.co/mQXIZTOdwL,texas|hanuman_statue|hinduism|cultural_controversy|statue_of_union|religious_monument|viral_video|social_media_controversy
https://x.com/i/status/2020605197769404653,no,,Man Seen Cleaning The Tombstone Of The Great Actor John Witherspoon 🙏🏾💯🕊️🪦 https://t.co/4mZZhpcOgu,pop_culture|john_witherspoon|tribute|satisfying_video|celebrity_news|viral_video|tiktok_repost
https://x.com/i/status/2016959063699906740,no,It is a joke but E33 was also denied an award for using AI aswell.  https://www.polygon.com/clair-obscur-expedition-33-indie-game-awards-goty-rescinded/,"Wow. 

Just made my first AI video game with Google’s Genie 3

The prompt: “French woman has to climb through a word that defies logic, flying objects everywhere”

Is it the end of the gaming industry? https://t.co/X7tG7sECJ9 https://t.co/xmH9MIubGs",gaming|artificial_intelligence|ai_generated|satire|meme|video_game|expedition_33
https://x.com/i/status/2030015671820509202,no,This is just a video that pretends that baseball players hit munitions at targets and gives a personal opinion of American dominance.  https://x.com/WhiteHouse/status/2030015671820509202?s=20,Pure American dominance. 💥🇺🇸 https://t.co/nvgWLar2ak,baseball|military_action|satire|viral_video|pop_culture|us_politics
