noteId,tweetId,currentStatus,coreNoteIntercept,noteLength,sourceCount,sourceTrust,sourceTrustTier,sourceDomains,tone,saysWrong,bridging,humanPrediction,humanShouldPost,tweetText,noteText
1782819700784717896,1782737430719627576,CURRENTLY_RATED_NOT_HELPFUL,,346,1,0.2,low,twitter.com,0.4,0,0.3,,,"","L'intimidation politique est inacceptable dans une démocratie .  Plus de 6oo convocations ont été adressées par le pouvoir en place.  Des condamnations sont déjà tombées contre des syndicalistes.  À gauche comme à droite , ces convocations sont décriées.  https://twitter.com/alancelin/status/1782809315788632451?t=bWNyOuqU-DERg0-tEV8iRA&amp;s=19"
1956807102136987745,1956265841869172983,CURRENTLY_RATED_NOT_HELPFUL,,612,3,0.4,unknown,amnesty.org; liberation.fr; lamarseillaise.fr,0.8,0,0.7,,,"","Les partis de gauche Ukrainiens (le Parti socialiste d'Ukraine et le Parti communiste d'Ukraine) sont bien interdits en Ukraine  https://www.amnesty.org/fr/latest/press-release/2015/12/ukraine-communist-party-ban-decisive-blow-for-freedom-of-speech-in-the-country/  https://www.liberation.fr/checknews/volodymyr-zelensky-a-t-il-suspendu-onze-partis-dopposition-ukrainiens-20220324_32PCSM7A4NGN7KF7OQN7OSHMYM/    Les droits syndicaux les plus fondamentaux ont aussi été attaqués par le gouvernement Ukrainien   https://www.lamarseillaise.fr/accueil/une-large-restriction-des-droits-syndicaux-en-ukraine-EC15537377"
1753615268134416792,1753590787130994745,CURRENTLY_RATED_NOT_HELPFUL,,73,0,0.5,unknown,,0.5,0,0.1,,,"","Elon is correct. It’s proven that illegal aliens have voted in election. "
1816609037728821444,1816584546218815522,CURRENTLY_RATED_HELPFUL,,255,1,0.4,unknown,thedirect.com,0.7,0.7,0.8,,,"","This isn’t true. Kimmel usually takes a Summer vacation, and he will return to Jimmy Kimmel Live! on Labor Day (Monday, September 2). He has two years left on his contract.     https://thedirect.com/article/jimmy-kimmel-where-now-when-return-what-happened"
1888279883442262206,1888190941141389824,CURRENTLY_RATED_NOT_HELPFUL,,328,1,0.4,unknown,metropoles.com,0.3,0.1,0.3,,,"","NNN- O vídeo em questão é um trecho de uma reportagem da metrópoles cujo o título é esse. Não há necessidade de utilizar as notas da comunidades com uma informação que pode estar facilmente nos COMENTÁRIOS. Parem de usar a Nota das comunidades de maneira incorreta. https://www.metropoles.com/saude/ovulo-emitindo-luz-fecundacao"
1953591498659754296,1953482204157235280,CURRENTLY_RATED_NOT_HELPFUL,,170,1,0.4,unknown,commonslibrary.parliament.uk,0.7,0.5,0.4,,,"","Government policies affect the economic data that is used to set interest rates, so they are responsible  https://commonslibrary.parliament.uk/research-briefings/sn02802/"
1986788840871166092,1986750686235627963,CURRENTLY_RATED_NOT_HELPFUL,,140,1,0.6,medium,en.wikipedia.org,0.2,0.5,0.2,,,"","It's not just &quot;tightening visa rules&quot;, it's a discrimination.    https://en.wikipedia.org/wiki/Discrimination_based_on_nationality"
1802464337140785206,1802319444569469129,CURRENTLY_RATED_HELPFUL,,310,1,0.4,unknown,leprogres.fr,0.8,0,0.8,,,"","&quot;C'est Nathalie Descours, ex-élue à Miribel et présidente de Renew, la version européenne de Renaissance dans l’Ain qui a reçu l'investiture de la majorité présidentielle dans la 5e circonscription de l'Ain.&quot;  https://www.leprogres.fr/elections/2024/06/16/la-majorite-presidentielle-lache-damien-abad"
1808483542525198756,1808435104244494596,CURRENTLY_RATED_HELPFUL,,179,1,0.2,low,x.com,0.8,0.7,0.5,,,"","תוכן הציוץ הופרך על ידי פייק ריפורטר; הדובר בסרטון הוא דרוזי, אין בו כל הבעת שמחה מהפיגוע.  https://x.com/FakeReporter/status/1808482637624881501?t=EiQXRUysDxUuiCMrWelNIw&amp;s=19"
1816510683887935723,1816264283333771538,CURRENTLY_RATED_HELPFUL,,265,1,0.2,low,tiktok.com,0.8,0.7,0.8,,,"","This is a skit and performed on a prop plane. This is evident by several factors. Notably:    1. Sticker Exit Sign  2. LED light strip  3. Total of (8) minutes in 4 separate videos on TikTok.    https://www.tiktok.com/@_ms.hustla03/video/7295752670269246766?lang=en"
2005812236313309601,2005472853920206961,CURRENTLY_RATED_NOT_HELPFUL,,280,0,0.5,unknown,,0.8,0,0.8,,,"","Nenhuma nota necessária, o post compartilhado é claro ao citar as diferenças entre a Copa Rio, intercontinental e Mundial, o autor do compartilhamento não está errado quando menciona “Mundial”, ainda são torneios de nível mundial, onde times de continentes diferentes participaram"
1782866139472646184,1782562675567796570,CURRENTLY_RATED_HELPFUL,,124,1,0.2,low,youtube.com,0.9,0.5,0.8,,,"","This screenshot is from ULTRA MIAMI 2023 - VICE CITY (Official Aftermovie).    https://www.youtube.com/watch?v=OQu28Gjkq04  "
1663285835620315137,1663187980247285762,CURRENTLY_RATED_HELPFUL,,369,1,0.4,unknown,foxnews.com,0.7,0,0.8,,,"","This story is from 2014: “Nearly 17,500 of the bizarre capsules have been grabbed from tourists' luggage... The capsules were made in northeastern China… dead babies' bodies were chopped into small pieces and dried on stoves before being turned into powder.”  https://www.foxnews.com/world/bizarre-craze-behind-smuggling-of-pills-containing-the-powdered-flesh-of-babies"
