url,text,needs_note,ground_truth_note,bot_id,outcome,note_text,source_verification,evaluation_score,search_results,citations
https://x.com/i/status/2018195600169390106,"🧬Maxpein🧬 - When you wake up at 3am- 4am.

When you wake up at 3am- 4am. https://t.co/bmqCGstxfb",yes,"Waking at 3-4 a.m. is commonly caused by the natural rise in cortisol levels around that time, often linked to stress, sleep cycles, or age related changes and not intercepted thoughts from someone else. https://my.clevelandclinic.org/health/articles/22103-cortisol",opus-main-v2,candidate,"The video falsely claims ""psychology suggests"" 3-4am waking means someone's thoughts ""pulled you out of your dream."" Sleep scientists say these awakenings result from circadian rhythms, cortisol rises, and lighter REM stages—not telepathy. https://www.sleepfoundation.org/sleep-faqs/why-do-i-wake-up-at-3am",YES,,"The claim that waking up suddenly between **3-4 a.m.** is a psychological signal of **someone thinking about you intensely**, causing your **brain waves to intercept a strong frequency** from their mind (not a ghost), is **not supported by psychology or science**. No credible sources validate this pseudoscientific idea of telepathic ""watching"" or frequency interception pulling you from dreams; it lacks empirical evidence and contradicts established sleep research.

Scientific explanations for frequent 3-4 a.m. awakenings include:
- **Circadian rhythm shifts**: Body temperature rises, melatonin peaks drop, and cortisol rises around this time, coinciding with lighter REM sleep stages, making awakenings easier—especially under stress or in older adults.[3][5] https://www.sciencealert.com/why-do-we-wake-up-at-3am-and-dwell-on-our-fears-a-psychologist-explains | https://www.sleepfoundation.org/sleep-faqs/why-do-i-wake-up-at-3am
- **Sleep disorders**: Insomnia (hyperarousal), sleep apnea (breathing pauses in REM), or advanced sleep phase disorder cause timed wakings; 35% of Americans experience sleep maintenance insomnia with high-frequency brain activity.[2][4] https://www.thesleepreset.com/blog/spiritual-vs-scientific-reasons-for-waking-up-at-3am | https://health.clevelandclinic.org/why-do-you-always-wake-up-at-3-a-m
- **Environmental/stress factors**: Noise, light, anxiety, depression, or nocturia (bladder issues) disrupt light sleep; stress amplifies ""catastrophizing"" worries at this low-energy point.[3][4][5] https://www.sciencealert.com/why-do-we-wake-up-at-3am-and-dwell-on-our-fears-a-psychologist-explains | https://health.clevelandclinic.org/why-do-you-always-wake-up-at-3-a-m | https://www.sleepfoundation.org/sleep-faqs/why-do-i-wake-up-at-3am
- **TCM perspective** (non-scientific): 3-5 a.m. links to **lung imbalances** (grief, respiratory issues), not interpersonal frequencies.[1] https://yosan.edu/understanding-the-tcm-body-clock-why-you-keep-waking-up-at-4-am/

Experts dismiss spiritual/telepathic interpretations as cultural beliefs without evidence, attributing wakings to biology.[2] https://www.thesleepreset.com/blog/spiritual-vs-scientific-reasons-for-waking-up-at-3am",https://yosan.edu/understanding-the-tcm-body-clock-why-you-keep-waking-up-at-4-am/; https://www.thesleepreset.com/blog/spiritual-vs-scientific-reasons-for-waking-up-at-3am; https://www.sciencealert.com/why-do-we-wake-up-at-3am-and-dwell-on-our-fears-a-psychologist-explains; https://health.clevelandclinic.org/why-do-you-always-wake-up-at-3-a-m; https://www.sleepfoundation.org/sleep-faqs/why-do-i-wake-up-at-3am
https://x.com/i/status/2014876147952029785,"Santa Trump.. 🇺🇸🇺🇸🇺🇸 - Bring it on!

Bring it on! https://t.co/XQMILealdd",yes,"The claim that House impeachment without Senate conviction nullifies a president's prior term, allowing two more terms, is false; the 22nd Amendment limits presidents to two elected terms regardless of impeachment. https://www.snopes.com/fact-check/failed-impeachment-nullify-term https://constitution.congress.gov/constitution/amendment-22/",opus-main-v2,rejected (check_failed),"The video contains a false claim. The 22nd Amendment states no person can be ""elected to the office of the President more than twice."" Impeachment without conviction does not ""nullify"" a term or allow additional runs—this loophole does not exist in the Constitution. https://constitution.congress.gov/constitution/amendment-22/",NO,,"The claim that impeachment without Senate conviction ""nullifies"" a president's first term and allows them to run for two additional terms is **not supported by the Constitution**.

The **22nd Amendment plainly states: ""No person shall be elected to the office of the President more than twice.""**[4] This language makes no distinction between impeached or non-impeached presidents—it applies uniformly to all presidents based on how many times they have been *elected*, not on impeachment status.

Legal experts and constitutional scholars addressing potential loopholes for a third term have focused on different mechanisms:[1][2][3]

- **Constitutional amendment**: Congress could propose repealing the 22nd Amendment, requiring a two-thirds vote in both chambers and ratification by three-fourths of state legislatures[2][4]
- **Vice presidential gambit**: Some legal scholars argue a narrow textual mismatch exists between the 22nd Amendment (which prohibits being *elected* a third time) and the 12th Amendment (which restricts vice presidential eligibility)[2] — though constitutional experts characterize this as ""splitting hairs""[2] and note it is ""foreclosed"" by both amendments when properly interpreted[3]

None of the scholarly or legal discussions about potential constitutional loopholes mention impeachment as affecting presidential term limits. Impeachment is a separate political process with no constitutional impact on term eligibility under the 22nd Amendment.",https://www.youtube.com/watch?v=B2YbfqOJnZM; https://www.youtube.com/watch?v=mcN2VGhmjBc; https://www.youtube.com/watch?v=hGx5BOlcZno; https://www.youtube.com/watch?v=h01Kk57YTNo; https://www.youtube.com/watch?v=wUD5TQPZu3k; https://www.youtube.com/shorts/eofw3oyCal4
https://x.com/i/status/2024988501440074066,"Guns Daily - Saved the day

Saved the day https://t.co/gffjEkgKg0",yes,"This video is from a simulated hostage rescue training drill by Brazil's BOPE special police forces on July 6, 2025, not a real incident. https://en.wikipedia.org/wiki/Batalh%C3%A3o_de_Opera%C3%A7%C3%B5es_Policiais_Especiais",opus-main-v2,rejected (no_correction_needed),"The post shows a video with the caption ""Saved the day"" from an account called ""Guns Daily."" Based on the media analysis, the video depicts someone on a building balcony with another person, showing movement between levels. The audio suggests a positive outcome with cheering. Without verifiable information about this specific incident, I cannot determine if the claim that someone ""saved the day"" is factually incorrect. The search results do not provide any information that directly contradicts the post's claim or identifies this as a misrepresented event. ",NO,,"I cannot verify the specific claim in this post based on the search results provided. The search results discuss **Guns Daily** as a firearm-focused Instagram account[1] but do not contain information about the specific video or incident described in your post.

To fact-check this claim, I would need:

1. **Direct context about the incident** — What specific event does ""saved the day"" refer to?
2. **Verification of the video's authenticity** — Whether this video actually depicts a rescue or safety-related event
3. **Original source information** — Details about when and where this incident occurred

The video description suggests someone jumping or falling between building levels, but without additional context from credible news sources or official reports, I cannot confirm whether this actually depicts a life-saving action or verify the circumstances.

If you're interested in fact-checking this specific post, I recommend providing:
- The original date the video was posted
- News reports or official sources about the incident
- Additional context about what ""saved the day"" specifically refers to",https://www.nrablog.com/articles/2016/8/firearm-instagram-accounts; https://www.youtube.com/watch?v=Cl_hdk7tuD8; https://projectunloaded.org/campaigns/
https://x.com/i/status/2016119830760587528,"Adam - OMG! That’s awful! 😣

OMG! That’s awful! 😣 https://t.co/QCg1zJ2cqG",yes,"This video is AI-generated, not real footage. It shows a fictional ship ""Grand Aurelian"" with telltale AI artifacts like unnatural water physics. Original posts of this video were explicitly labeled as AI-generated. https://fullfact.org/environment/cruise-ship-sewage-sea-ai-generated/",opus-main-v2,candidate,"This video is AI-generated, not real footage. Full Fact identified physics discrepancies and an OpenAI watermark indicating it was made with video generation software. No ship named ""Grand Aurelian"" exists in maritime registries. https://fullfact.org/environment/cruise-ship-sewage-sea-ai-generated/",YES,,"The video claiming to show the cruise ship **Grand Aurelian** dumping waste into the ocean is **AI-generated and not real**. 

Full Fact investigated the clip (originally posted on Instagram by @SIHEM_AYADI_) and identified it as fake due to physics discrepancies, such as unnatural debris flow, water behavior, and ship motion, plus an OpenAI watermark indicating video generation software was used: https://fullfact.org/environment/cruise-ship-sewage-sea-ai-generated/. No credible reports confirm a real incident involving a ship named **Grand Aurelian** (which does not appear in maritime vessel registries) dumping waste as depicted.",https://fullfact.org/environment/cruise-ship-sewage-sea-ai-generated/
https://x.com/i/status/2021670324325298616,"matrixbot - Wifi test on plant growth

Wifi test on plant growth https://t.co/kiR7nCo9rr",yes,This image is from a flawed 2013 Danish student experiment that ignored confounders like heat from routers drying seeds. A second WiFi-exposed group that grew normally was selectively excluded. WiFi uses non-ionizing waves lacking energy to damage plants. https://sciencemeetsfiction.com/2013/12/16/no-wi-fi-does-not-hurt-plants-or-anything-else-for-that-matter/,opus-main-v2,candidate,"This resembles a debunked 2013 Danish student experiment. Key flaws: routers generate heat that dries soil, no temperature/humidity controls, and a second Wi-Fi group that grew normally was excluded from results. https://sciencemeetsfiction.com/2013/12/16/no-wi-fi-does-not-hurt-plants-or-anything-else-for-that-matter/",YES,,"The video depicts an uncontrolled plant growth experiment claiming Wi-Fi exposure prevents seed germination and growth (top tray with Wi-Fi shows no sprouts after ~58 hours, bottom tray without Wi-Fi shows abundant green sprouts), featuring Frank Clegg (former Microsoft Canada president) stating he avoids home Wi-Fi for safety reasons, and referencing a CTV Canada AM interview.[media]

This mirrors the widely debunked 2013 Danish student experiment with cress seeds near Wi-Fi routers, where plants near routers allegedly failed to grow, but critics identified fatal flaws including unmonitored temperature differences (routers generate heat drying out trays), selective reporting (a second Wi-Fi-exposed group grew fine, omitted), misrepresented photos, and no proper controls—invalidating claims of causation by non-ionizing Wi-Fi radiation, which lacks energy to damage cells per physics laws. https://sciencemeetsfiction.com/2013/12/16/no-wi-fi-does-not-hurt-plants-or-anything-else-for-that-matter/ [2] [4]

Scientific reviews confirm mixed, inconclusive results from EMF/Wi-Fi on plants due to small samples, poor controls (e.g., light, humidity, overlapping EMF sources like cordless phones), and no consistent effects; one study found short-term growth stimulation in some species but earlier senescence overall. https://www.waldorftoday.com/2013/07/student-science-experiment-finds-plants-wont-grow-near-wi-fi-router/ [1] http://thelawninstitute.org/wp-content/pgs/investigating-how-wi-fi-electromagnetic-fields-influence-plant-growth-in-a-simple-experiment.html https://nora.nerc.ac.uk/id/eprint/535565/1/N535565JA.pdf [3]

No evidence supports Wi-Fi harming humans or plants at typical exposures; non-thermal effects lack clear proof. https://pmc.ncbi.nlm.nih.gov/articles/PMC9287836/ [6] The video's setup (aluminum trays, split-screen timing) shows no controls for heat, moisture evaporation, or precise EMF dosing, repeating the Danish flaws. https://www.youtube.com/watch?v=P-aMs0kOitc [5]",http://thelawninstitute.org/wp-content/pgs/investigating-how-wi-fi-electromagnetic-fields-influence-plant-growth-in-a-simple-experiment.html; https://www.waldorftoday.com/2013/07/student-science-experiment-finds-plants-wont-grow-near-wi-fi-router/; https://nora.nerc.ac.uk/id/eprint/535565/1/N535565JA.pdf; https://sciencemeetsfiction.com/2013/12/16/no-wi-fi-does-not-hurt-plants-or-anything-else-for-that-matter/; https://www.youtube.com/watch?v=P-aMs0kOitc; https://pmc.ncbi.nlm.nih.gov/articles/PMC9287836/
https://x.com/i/status/2013100247090663429,"The Disrespected Trucker - The ""news"" is all an illusion.

The ""news"" is all an illusion. https://t.co/qhmuGCw1bR",yes,"This video shows a climate protest in Vienna, Austria on February 4, 2022, where activists lay in body bags to symbolize projected climate deaths, not Ukraine war casualties. https://apnews.com/article/fact-checking-789622514314 https://www.reuters.com/article/factcheck-ukraine-body-bags-idUSL2N2V6241",opus-main-v2,rejected (check_failed),"This video falsely claims CNN faked Ukrainian deaths. The CNN chyron showing ""57 DEAD, 169 HURT"" accurately reflected Ukrainian Health Ministry reports from Feb 24, 2022. The casualties and events described (Chernobyl, Hostomel airfield) were confirmed by multiple outlets. https://kesq.com/news/national-politics/cnn-us-politics/2022/03/05/fact-check-phony-images-masquerading-as-cnn-coverage-go-viral-amid-war-in-ukraine/",NO,,"**The video falsely claims CNN fabricated Ukrainian casualty reports and deaths shown in early war coverage, but fact-checks confirm CNN's reporting was authentic, with no evidence of staging.**

The overlaid text ""Fake deaths on CNN... All Ukraine is fake"" in the video misrepresents a real CNN chyron from March 2022 stating ""UKRAINIAN HEALTH MINISTRY: 57 DEAD, 169 HURT ACROSS UKRAINE AS RUSSIA LAUNCHES ATTACK,"" which accurately reflected official Ukrainian reports of initial Russian attacks.[1][2] The covered bodies shown are consistent with documented Ukrainian casualties, not faked; similar claims of CNN staging (e.g., firefighters' gear labeled ""Edmonton"") were debunked as donated equipment from Canada to Lviv firefighters, verified via geolocation and statements from donors.[1] CNN's audio transcript in the video matches real reporting on rising casualties (""at least 59 killed, 149 wounded""), Chernobyl, and the Hostomel airfield assault near Kyiv—events confirmed by multiple outlets on February 24-25, 2022.[2]

Pro-Kremlin disinformation surged with fake CNN/BBC impersonations (e.g., altered screenshots claiming Steven Seagal fought in Ukraine or phony India warnings), but these were fabrications unrelated to actual CNN Ukraine coverage.[2][3] No credible sources support the video's exact claim of faked deaths; instead, they debunk it as part of broader misinformation campaigns.[1][2][3]

| Claim in Video | Fact-Check Evidence |
|---------------|---------------------|
| CNN chyron shows fake numbers (57 dead, 169 hurt) | Matches Ukrainian Health Ministry reports on initial attacks; numbers rose as fighting intensified.[1][2] |
| Covered bodies are staged ""fake deaths"" | Scene aligns with real casualty footage from Ukraine; no staging proven.[1] |
| CNN audio fakes war events (Chernobyl, airfield) | Reports corroborated by NYT, Ukrainian officials; Russian paratroopers briefly held Hostomel airfield.[2] |",https://www.youtube.com/watch?v=7mncEaFur2E; https://kesq.com/news/national-politics/cnn-us-politics/2022/03/05/fact-check-phony-images-masquerading-as-cnn-coverage-go-viral-amid-war-in-ukraine/; https://www.poynter.org/fact-checking/2022/the-ukraine-war-has-fueled-a-surge-of-fake-content-impersonating-bbc-and-cnn-coverage/; https://www.youtube.com/watch?v=zK1Kboq2_00
https://x.com/i/status/2011804909834789028,"Dr. Eric Berg - If I had cancer, I would do this immediately…

If I had cancer, I would do this immediately… https://t.co/Bh6dS7jAvH",yes,"Eric Berg is a chiropractor, not an MD. Prolonged fasting lacks evidence as cancer treatment and risks malnutrition & weakened immunity in patients. Short fasting may aid chemo per mouse studies, but consult oncologist. https://pmc.ncbi.nlm.nih.gov/articles/PMC12035504 https://theconversation.com/why-fasting-wont-cleanse-your-body-or-beat-cancer-267555",opus-main-v2,rejected (check_failed),"No clinical evidence supports 20-30 day fasting as cancer treatment. Cancer cells can use ketones, not just glucose. Prolonged fasting risks severe malnutrition in cancer patients. Medical experts warn against fasting as replacement for standard cancer treatment. https://pmc.ncbi.nlm.nih.gov/articles/PMC9960359/",NO,,"**Dr. Eric Berg's claim that a 20-30 day fast would immediately starve stage 4 cancer cells while the body survives—putting one ""in a better place"" before one meal a day—lacks strong scientific support and contradicts expert consensus on fasting as a cancer treatment.**

Berg, a chiropractor (not an MD), promotes prolonged fasting (20-30 days) to deprive cancer of glucose, arguing tumors are ""necrotic"" and ""hypoxic"" while normal cells adapt via ketones[1][2][8]. He contrasts this with chemo, which he says kills healthy cells too[media transcript].

**Direct contradictions from sources:**
- Fasting impacts cancer cells but does **not** eliminate them or serve as a cure; more research is needed, and claims of killing cancer via starvation are overstated[3]. Experts like Dr. Misra warn against it for chemo patients due to fatigue, hypoglycemia, hypertension, and risks[3].
- Ketones from fasting do **not** uniquely starve cancer; tumors can use ketones (ketolysis via SCOT/ACAT1), and prolonged fasting may feed some tumors despite glucose deprivation[7]. Berg's distinction between fasting vs. dietary ketones is a ""false conclusion""[1].
- No evidence supports 20-30 day fasts as safe or superior for stage 4 cancer; fasting aids repair (autophagy) and may reduce side effects/enhance chemo/radiation in some studies, but **not as replacement therapy**[2][4][7]. Medical professionals do not recommend it over standard treatments due to insufficient data[2].

**Supporting but limited evidence:**
- Intermittent/periodic fasting may weaken cancer cells by lowering glucose/insulin/IGF-1 (anabolic hormones linked to cancer growth), boosting immunity and autophagy[1][2][4][5]. It pairs with keto for prevention, not cure[1][4][6].
- Berg's own content suggests monthly 4-day fasts or calorie restriction as adjuncts, not 30-day starvation[2].

**Key risks for cancer patients:** Prolonged fasting (especially 20-30 days) causes severe malnutrition, muscle loss, and immune suppression in already weakened stage 4 patients—counterproductive since healthy cells also need nutrients[3][7]. No clinical trials back Berg's exact protocol; it's theoretical, not proven[1][3][8].

Sources directly addressing Berg's fasting-cancer claims: [1] (debunks Berg video), [2] (Berg on fasting limits), [3] (fact-check), [7] (metabolism review), [8] (Berg's stage 4 clip disclaimer). General cancer orgs (e.g., ACS, NCCN) do not endorse fasting as primary treatment per reviewed data. Consult oncologists; self-fasting risks death.",https://www.youtube.com/watch?v=-QGUVz1RHD8; https://www.youtube.com/watch?v=Tdf3vSvU10E; https://www.youtube.com/watch?v=gglOjKd-LvY; https://www.drberg.com/blog/4-big-ways-to-drop-your-cancer-risk; https://timesofindia.indiatimes.com/life-style/health-fitness/how-never-to-get-cancer-dr-eric-berg-shares-8-scientifically-proven-tips/articleshow/125265648.cms; https://www.foodfacts.org/people/eric-berg; https://pmc.ncbi.nlm.nih.gov/articles/PMC9960359/; https://www.youtube.com/shorts/6aitl1Bfr1o; https://podscan.fm/podcasts/dr-bergs-healthy-keto-and-intermittent-fasting-podcast/episodes/cancer-dies-when-you-do-this
https://x.com/i/status/2019833472349569084,"Ribz of Tik Tok - It's amazing what you can find at thrift stores

It's amazing what you can find at thrift stores https://t.co/a5QTpJusvu",yes,"Piece cannot be 100+ years old - it has the brand imprint ""Martha Stewart"" on the bottom. https://achievers.edu.ng/products/martha-stewart-cast-iron-cornbread-mold/14530743/",opus-main-v2,rejected (no_correction_needed),"The post shows someone finding and restoring a cast iron cornbread mold at a thrift store. While the ""100 years old"" claim in the video overlay cannot be independently verified without examining maker's marks, this is a casual/personal claim about a thrift store find rather than a verifiable factual assertion requiring correction. The core claim - that interesting cast iron can be found at thrift stores - is not factually incorrect. ",NO,,"I appreciate you sharing this content, but I need to be transparent about the limitations here:

**What I can observe from the media analysis:**
- The video shows a cast iron pan (appears to be a cornbread mold) being cleaned/restored
- The text overlay claims it's ""100 years old""
- The pan appears to be in used condition but intact

**What I cannot verify:**
I cannot access the Twitter/X link you provided (https://t.co/a5QTpJusvu) to view the original post, check comments, or see additional context from Ribz's account. Additionally, I don't have access to:

1. **Ribz's actual TikTok/social media accounts** to verify their typical content style or whether they've previously addressed authenticity
2. **Cast iron dating expertise** sources that would allow me to verify the ""100-year-old"" claim based on the pan's appearance
3. **Specific information about this creator** to fact-check their track record

**To properly fact-check this claim, I would need:**
- Access to cast iron collecting communities or expert sources discussing how to authenticate vintage cast iron age
- Information about Ribz's credibility as a content creator
- Details about the specific pan's maker/markings that might indicate its actual age

If you're curious about whether the pan is actually 100 years old, cast iron collector communities or antique tool forums might be able to help identify it based on maker's marks or design characteristics.",
https://x.com/i/status/2025080836677398896,"Abhishek Bhatnagar - This is how you identify a fake Apple charger. 👀

This is how you identify a fake Apple charger. 👀 https://t.co/5GrWMwiYip",yes,This video is fake and engagement farming. Apple does not use NFC to verify charging adapters. iPhones cannot authenticate wall chargers by tapping them. Apple power bricks do not contain NFC chips.,opus-main-v2,rejected (no_correction_needed),"The post claims to show how to identify a fake Apple charger, but the video content shows an iPhone device and box being examined (with ""Copy X Original ✓"" overlay), not a charger. However, this appears to be a **content mismatch or misleading caption** rather than a factual error that can be definitively corrected with sources. The issue here is: - The post title mentions ""charger"" but the video shows phone authentication - This is likely either a captioning error or clickbait mismatch - It's not a verifiable factual claim about chargers that sources can directly contradict Community Notes are designed to correct factual misinformation, not to flag misleading titles or content mismatches. The post doesn't make a specific false factual assertion about chargers - it simply shows different content than advertised. ",NO,,"# Fact-Check Analysis

The post claims to demonstrate how to identify fake Apple chargers, but the video content described shows a person in an electronics store examining an **iPhone device and its box**, not an Apple charger. The visual content focuses on phone authenticity (""Copy X Original ✓"" overlay) rather than charger identification.

## Discrepancy Between Claim and Content

There is a **mismatch between the post's title and the actual video content**. The title promises guidance on identifying counterfeit chargers, but the video appears to demonstrate iPhone authenticity verification instead. This is a significant factual inconsistency in the post's presentation.

## Actual Methods for Identifying Fake Apple Chargers

If the post intended to cover charger authentication, legitimate identification methods include[1][2]:

- **Visual inspection**: Examine Apple logos for precise font kerning and consistent spacing; counterfeits often appear misaligned or narrower[2]
- **Regulatory markings**: Check that FCC ID, CE mark, and RoHS symbols are permanently fused to the charger, not glued or stickered[1]
- **Serial number verification**: Genuine chargers include unique serial numbers verifiable through Apple's official website[2]
- **MFi certification**: Look for the ""Made for iPhone/iPad/iPod"" badge on packaging and verify certification through Apple's database[2]
- **Build quality**: Genuine chargers demonstrate solid construction and proper weight[3]
- **Official markings**: Verify wattage labeling (e.g., ""20W USB-C Power Adapter"") and compliance symbols[2]

The post's credibility is undermined by the fundamental mismatch between its stated topic and the actual video content presented.",https://lifetips.alibaba.com/tech-efficiency/how-to-spot-a-counterfeit-apple-charger; https://www.hrxinhangdao.com/how-to-verify-your-apple-usb-c-charger-plug-is-genuine/; https://www.youtube.com/watch?v=_3BSMlWZZ08; https://support.apple.com/en-us/118474; https://www.youtube.com/watch?v=F13RdAaxfL8; https://support.apple.com/en-us/111103; https://www.electricalsafetyfirst.org.uk/media/1119/counterfeit-and-imitation-apple-chargers.pdf; https://discussions.apple.com/thread/256045048
https://x.com/i/status/2015811569007894903,"Essex Bloke - What is this!? Another UK Council taking the p*ss!

What is this!? Another UK Council taking the p*ss! https://t.co/u0J0kNY46x",yes,"These bins are communal bins for local businesses and residents in Sheffield's Fargate area. They are accessed using a free key card provided to authorized users to prevent fly-tipping, not by payment. Public litter bins are available nearby. https://www.thestar.co.uk/news/politics/fargate-sheffield-city-council-gives-launch-date-for-super-bins-seven-months-after-ps14m-revamp-5386053",opus-main-v2,candidate,"These Sheffield bins are for residents/businesses only, accessed via a fob (not payment card). No payment required. The £400 fine is only for fly-tipping, not bin use. Public bins are available nearby for general litter. https://fullfact.org/politics/sheffield-bins-card-payments-video/",YES,,"**The video from Sheffield, shared by ""Essex Bloke,"" falsely claims that new public bins require tapping a payment card to dispose of rubbish, with a £400 fine otherwise; this is incorrect.** https://fullfact.org/politics/sheffield-bins-card-payments-video/

These are **residential and business-only recycling bins** from Sheffield City Council, accessed via a special fob (not a payment card) provided to nearby residents and businesses—similar to commercial waste services where businesses pay a subscription fee, but no card payment is needed at the bin. Public users must use nearby free public bins instead, as stated on the signs (""RESIDENTIAL use only PLEASE USE NEARBY PUBLIC BINS FOR GENERAL LITTER""), and the £400 fine applies only to fly-tipping (leaving waste on the ground), not for using the bins without payment. The video's narrator and overlaid text misrepresent a fob reader as a payment slot, but no payment mechanisms are visible on the bins for plastics, paper/card, tins/cans, glass, or general waste. https://fullfact.org/politics/sheffield-bins-card-payments-video/",https://fullfact.org/politics/sheffield-bins-card-payments-video/
