url,needs_note,ground_truth_note,tweet_text,tags
https://x.com/i/status/2044717276780179820,yes,"The photo on the left was Port Tewfik memorial, build to honor the lives of Indian soldiers who died in the Palestine campaign in WWI. It was destroyed by Israel in 1967. https://www.cwgc.org/visit-us/find-cemeteries-memorials/cemetery-details/143800/heliopolis-port-tewfik-memorial/","I want my tax dollars to be used for things like this, instead of for brown immigrants. https://t.co/FTLGdgbLyI",helpful_competing
https://x.com/i/status/1820974864251134373,yes,"This is misleading by ommission. British intervention in Lagos was due to the slave trade, in which the OP's ancestors had been deeply involved. Presenting the cession only as unprovoked British aggression hides that background and distorts the history.     https://www.jstor.org/stable/2120001?utm","My great, great maternal grandfather was the Oba (king) of Lagos in 1861 and was forced -under threat of military bombardment - aka to avoid a massacre of the people - to cede Lagos over to the British.

Lest we forget. https://t.co/CNMYgvIneH",helpful_competing
https://x.com/i/status/2044447834158538827,yes,"This incident occurred on June 21, 2025, in Praia Grande, Santa Catarina, Brazil—nearly a year before this post—not a recent &quot;BREAKING&quot; event.    https://en.wikipedia.org/wiki/2025_Santa_Catarina_hot_air_balloon_crash  https://www.bbc.com/news/articles/c17w04wxwpxo  https://apnews.com/article/brazil-balloon-fall-49c10b909e0f430a22913f7dd13e2c23","BREAKING🚨: Hot air balloon carrying 21 people catches fire and crashes in southern Brazil, killing at least 8 😱 https://t.co/4oRuUqy2li",helpful_competing
https://x.com/i/status/2044171261824078040,yes,"The article says that a porn site got 62m monthly visits, not that it has 62m users. The article did not provide an estimate of active users, but the number is certainly much lower. For reference, the ratio of monthly visits to active users is ~5:1 for Pornhub.  https://edition.cnn.com/interactive/2026/03/world/expose-rape-assault-online-vis-intl/index.html  https://www.demandsage.com/website-traffic-statistics/  https://www.statista.com/statistics/1201889/most-visited-websites-worldwide-unique-visits/?srsltid=AfmBOorW5cY--FfvlSsPyQU3vIvMJRZnRZKHDDrovbdAHZn3tn6KdVsg","CNN just announced the existence of a global “rape academy” where 62 million men are enrolled and are taking lessons on how to drug and rape women. 
I’m so fucking done.",helpful_competing
https://x.com/i/status/2051371003196875189,yes,"The video is from an Iranian strike causing a fire at Dubai's Fairmont The Palm hotel on Feb. 28, 2026, not a new hit on downtown Dubai on May 4. There was minor damage from debris in Dubai on May 4, but this footage is unrelated.    https://www.bbc.com/news/articles/c204px4zddro  https://www.nytimes.com/2026/03/01/world/middleeast/iran-attacks-dubai-persian-gulf-countries-retaliation.html  https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_the_United_Arab_Emirates","🚨 Iran has hit downtown Dubai !

Trump hasn’t responded. 

He’s TERRIFIED! https://t.co/x618UQC8dT",helpful_competing
https://x.com/i/status/2051672387997798745,yes,"Both Jackson Coleman and Reis Russell publicly announced receiving scholarship offers from Colorado Buffaloes, though ESPN's database does not list them.    Coleman's announcement: https://x.com/J_Coley_13/status/2014516030140186731    Russell's announcement: https://x.com/Reis_Russell54/status/1915463030714044696","According to ESPN, Valor Christian's top recruits Jackson Coleman and Reis Russell did not receive offers from @CUBuffsFootball. Colman is going to Notre Dame and Russell to Washington. 

Remember ""You know were to find me?""  

Sanders can't find two guys just down the road.",helpful_competing
https://x.com/i/status/2045903549058412767,yes,This claim is false. Target has not announced any membership requirement to enter stores. Target stores remain open to all customers without any membership card. Target's loyalty programs are optional and do not restrict store access. https://corporate.target.com/press/fact-sheet/2025/06/target-circle,"Target will now require a membership card to enter its stores starting next month, similar to Costco. https://t.co/iV4Fy3hiaO",helpful_ours
https://x.com/i/status/2041208268106666146,yes,Ice Cube didn’t say that.    https://x.com/icecube/status/2041233257258455231?s=46,"Ice Cube says he’s done with Hollywood: 

“They keep offering me the same angry Black man role.” https://t.co/DdH6A0XU1i",helpful_competing
https://x.com/i/status/2051395040165970214,yes,"The claim that Elon Musk is paying Spirit Airlines employees' salaries is false. Musk has made no such announcement or quote on X, and no reliable sources report it. Spirit is ceasing operations due to financial issues.    https://ir.spirit.com/news/news-details/2026/Spirit-Airlines-Begins-Orderly-Wind-Down-of-Operations/default.aspx  https://www.reuters.com/business/spirit-airlines-prepares-cease-operations-after-rescue-deal-stalls-wsj-reports-2026-05-01  https://news.meaww.com/fact-check-is-elon-musk-purchasing-spirit-airlines-amid-its-shutdown","🚨ELON MUSK JUST STEPPED UP LIKE A FUCKING BOSS — HE’S PAYING THE FULL SALARIES AND HEALTH BENEFITS FOR ALL 17,000 SPIRIT AIRLINES EMPLOYEES FOR THE NEXT 3 MONTHS AFTER PETE BUTTIGIEG AND ELIZABETH WARREN HELPED KILL THE MERGER THAT WOULD’VE SAVED THEIR JOBS!

Follow https://t.co/otuMNgyreK",helpful_competing
https://x.com/i/status/2053291962023710985,yes,A co-host for one of the affected channels revealed no strikes were issued by Youtube. This content was deleted by Jeremy    No user reports could remove this volume of content from multiple channels across 3 unaffiliated sites at the same time    https://x.com/bear_ing/status/2053300064580464870?s=20,"Every live stream I have ever done has now disappeared from YouTube and my podcast channel with 2 friends seems to have been banned.

Im sure its totally not false flaggers and just a coincidence but please take a moment to create a Rumble account and follow TheQuartering there",helpful_competing
