note_id,tweet_id,is_helpful,submitted_at,tweet_age_at_submission_h,author_followers,author_tweet_count,impressions,likes,retweets,replies,quotes,bookmarks,has_video,has_photo,media_count
2063348744955867371,2063297889242059071,1,2026-06-06T19:54:10.621+00:00,3.3682280555555555,148838,38955,167858,2222,132,68,12,243,0,1,1
2063358187924008991,2063350554122752107,0,2026-06-06T20:31:42+00:00,0.5058333333333334,7301,43251,283,20,2,1,1,0,0,0,0
2063364937133531139,2063353070545785113,0,2026-06-06T20:58:31.137+00:00,0.7861491666666667,4877,76973,6,0,0,1,0,0,0,1,1
2063364944209265133,2063302651463283013,0,2026-06-06T20:58:32.824+00:00,4.125506666666666,4184,3120,436,8,5,3,0,3,0,1,2
2063372783367635275,2063267165776855420,0,2026-06-06T21:29:41.824+00:00,6.994951111111111,4334469,471116,2109660,2527,163,185,42,324,1,0,1
2063379536566210614,2063266003270717688,0,2026-06-06T21:56:31.913+00:00,7.5191425,476471,174992,21939,357,75,66,26,121,1,0,1
2063379541888794883,2063365434384978177,0,2026-06-06T21:56:33.182+00:00,0.934495,37181,118523,3300,27,3,19,0,2,0,1,1
2063394502765576612,2063364222306627749,0,2026-06-06T22:56:00.132+00:00,2.005592222222222,371847,15052,7314,217,86,41,10,11,1,0,1
2063420009523626370,2063354257781199123,0,2026-06-07T00:37:21.418+00:00,4.354838333333333,84325,16522,33396,159,29,371,11,11,0,0,0
2063420015785746709,2063348482853716038,0,2026-06-07T00:37:22.91+00:00,4.737475,3,146,25885,290,1,6,0,4,0,0,0
2063435430561767768,2063367374808510698,0,2026-06-07T01:38:38.08+00:00,4.507244444444445,57284,27646,59265,1459,200,15,31,45,0,1,1
2063435436865790054,2063381476872495242,0,2026-06-07T01:38:39.582+00:00,3.5737727777777777,15034,4655,73265,426,20,50,10,251,1,0,1
2063453488755982562,2063354624988565593,0,2026-06-07T02:50:23.488+00:00,6.547635555555556,605395,48489,417575,8114,1982,159,90,431,1,0,1
2063453498444783625,2063397026281201848,0,2026-06-07T02:50:25.798+00:00,3.7402216666666668,802,21492,5934,651,159,38,4,18,0,1,2
2063453503201095996,2063408786057146680,0,2026-06-07T02:50:26.932+00:00,2.961647777777778,1556,8052,15022,47,8,12,2,7,0,0,0
2063475415621198208,2063405365924925924,0,2026-06-07T04:17:31.261+00:00,4.639239166666666,9477,85457,715099,1006,3,24,1,83,0,0,0
2063522859184451818,2063466657943871996,0,2026-06-07T07:26:02.688+00:00,3.7221355555555555,4004,75,1692,41,10,4,2,2,1,0,2
2063541893926187496,2063420639566864428,0,2026-06-07T08:41:40.923+00:00,8.030534166666666,36794,1621,3323,159,46,10,4,19,1,0,1
